jobs,512
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,10
mutate,10
Result,19269909.031251
toMatrix,10
elitism,10
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
Result,17915882.750000
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,10
Result,18307692.804688
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,20
mutate,10
jobs,512
Result,18146264.937500
numGen,100
toMatrix,10
elitism,20
mutate,20
jobs,512
machines,16
numInd,100
Result,18064514.281250
elitism,20
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,10
Result,17804230.985351
toMatrix,10
elitism,30
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
Result,19116223.960938
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,30
mutate,20
jobs,512
Result,20615994.742188
numInd,100
numGen,100
toMatrix,10
elitism,30
mutate,30
jobs,512
machines,16
Result,18420783.328125
elitism,40
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,10
Result,19492321.640625
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,40
Result,18147965.716796
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,40
mutate,30
jobs,512
Result,18715764.363280
toMatrix,10
elitism,50
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
Result,18544383.265625
numGen,100
toMatrix,10
elitism,50
mutate,20
jobs,512
machines,16
numInd,100
Result,18505845.357422
machines,16
numInd,100
numGen,100
toMatrix,10
elitism,50
mutate,30
jobs,512
Result,18253741.783203
numInd,100
numGen,100
toMatrix,20
elitism,10
mutate,10
jobs,512
machines,16
Result,17040365.179688
elitism,10
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,20
Result,16291026.949219
toMatrix,20
elitism,10
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
Result,16839436.992188
toMatrix,20
elitism,20
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
Result,16796319.964844
numInd,100
numGen,100
toMatrix,20
elitism,20
mutate,20
jobs,512
machines,16
Result,17536182.666015
numInd,100
numGen,100
toMatrix,20
elitism,20
mutate,30
jobs,512
machines,16
Result,15779594.750245
toMatrix,20
elitism,30
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
Result,16699635.526365
numInd,100
numGen,100
toMatrix,20
elitism,30
mutate,20
jobs,512
machines,16
Result,17964866.453125
numInd,100
numGen,100
toMatrix,20
elitism,30
mutate,30
jobs,512
machines,16
Result,15823546.585938
elitism,40
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,20
Result,16377726.902344
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,20
elitism,40
mutate,20
Result,16764555.250000
numGen,100
toMatrix,20
elitism,40
mutate,30
jobs,512
machines,16
numInd,100
Result,15837407.796875
numInd,100
numGen,100
toMatrix,20
elitism,50
mutate,10
jobs,512
machines,16
Result,18701666.291383
elitism,50
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,20
Result,17487138.136720
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,20
elitism,50
mutate,30
Result,17246173.781250
elitism,10
mutate,10
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
Result,16387751.624024
elitism,10
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
Result,14440373.115233
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,10
mutate,30
Result,15403580.828125
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,20
mutate,10
Result,16443137.824219
mutate,20
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,20
Result,16813159.345460
elitism,20
mutate,30
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
Result,16523372.726562
jobs,512
machines,16
numInd,100
numGen,100
toMatrix,30
elitism,30
mutate,10
Result,17477448.632813
mutate,20
jobs,512
machines,16
